"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2007,"1.23","0.22","0.55","2"
"Alaska","AK",2007,"1.13","0.44","0.96","2.53"
"Arizona","AZ",2007,"1.39","0.34","0.78","2.51"
"Arkansas","AR",2007,"1.02","0.15","0.51","1.69"
"California","CA",2007,"1.06","0.54","0.7","2.3"
"Colorado","CO",2007,"1.3","0.47","1.01","2.78"
"Connecticut","CT",2007,"0.92","0.57","0.84","2.33"
"Delaware","DE",2007,"1.38","0.59","1.23","3.19"
"District of Columbia","DC",2007,"1.37","1","1.63","4"
"Florida","FL",2007,"1.28","0.48","0.92","2.68"
"Georgia","GA",2007,"1.19","0.26","0.65","2.1"
"Hawaii","HI",2007,"1.3","0.48","0.77","2.55"
"Idaho","ID",2007,"1.17","0.73","0.67","2.58"
"Illinois","IL",2007,"1.24","0.41","0.74","2.38"
"Indiana","IN",2007,"1.13","0.24","0.72","2.09"
"Iowa","IA",2007,"1.41","0.17","0.67","2.25"
"Kansas","KS",2007,"1.17","0.15","0.64","1.96"
"Kentucky","KY",2007,"1.04","0.17","0.63","1.85"
"Louisiana","LA",2007,"1.57","0.27","0.81","2.66"
"Maine","ME",2007,"1.35","0.42","0.8","2.57"
"Maryland","MD",2007,"1.01","0.36","0.84","2.2"
"Massachusetts","MA",2007,"1.11","0.62","0.87","2.59"
"Michigan","MI",2007,"1.13","0.3","0.77","2.19"
"Minnesota","MN",2007,"1.23","0.36","1.01","2.6"
"Mississippi","MS",2007,"1.45","0.14","0.68","2.26"
"Missouri","MO",2007,"1.33","0.3","0.78","2.4"
"Montana","MT",2007,"1.66","0.43","0.85","2.94"
"Nebraska","NE",2007,"1.43","0.2","0.67","2.31"
"Nevada","NV",2007,"1.66","0.62","1.23","3.52"
"New Hampshire","NH",2007,"1.82","0.79","1.75","4.36"
"New Jersey","NJ",2007,"0.93","0.55","0.86","2.33"
"New Mexico","NM",2007,"1.39","0.3","0.7","2.39"
"New York","NY",2007,"0.93","0.47","0.69","2.1"
"North Carolina","NC",2007,"1.15","0.33","0.56","2.04"
"North Dakota","ND",2007,"1.53","0.23","1.06","2.82"
"Ohio","OH",2007,"1.34","0.25","0.45","2.04"
"Oklahoma","OK",2007,"1.17","0.17","0.57","1.91"
"Oregon","OR",2007,"1.35","0.5","0.81","2.65"
"Pennsylvania","PA",2007,"1.35","0.25","0.58","2.18"
"Rhode Island","RI",2007,"1.1","0.53","0.82","2.45"
"South Carolina","SC",2007,"1.42","0.24","0.76","2.42"
"South Dakota","SD",2007,"1.52","0.22","0.87","2.61"
"Tennessee","TN",2007,"1.13","0.2","0.56","1.9"
"Texas","TX",2007,"1.41","0.27","0.56","2.24"
"Utah","UT",2007,"0.77","0.16","0.44","1.38"
"Vermont","VT",2007,"1.46","0.62","0.7","2.78"
"Virginia","VA",2007,"1.13","0.41","0.57","2.1"
"Washington","WA",2007,"1.14","0.5","0.74","2.38"
"West Virginia","WV",2007,"1.23","0.1","0.42","1.75"
"Wisconsin","WI",2007,"1.56","0.33","1.11","3"
"Wyoming","WY",2007,"1.46","0.27","1.07","2.8"
