"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2015,"1.11","0.26","0.64","2.01"
"Alaska","AK",2015,"1.11","0.53","1.2","2.84"
"Arizona","AZ",2015,"1.16","0.4","0.78","2.34"
"Arkansas","AR",2015,"0.97","0.22","0.65","1.83"
"California","CA",2015,"0.99","0.53","0.75","2.28"
"Colorado","CO",2015,"1.12","0.51","1.14","2.77"
"Connecticut","CT",2015,"0.85","0.61","0.95","2.41"
"Delaware","DE",2015,"1.18","0.72","1.74","3.65"
"District of Columbia","DC",2015,"1.15","1.02","1.68","3.85"
"Florida","FL",2015,"1.11","0.51","0.98","2.6"
"Georgia","GA",2015,"1.01","0.25","0.68","1.94"
"Hawaii","HI",2015,"1.28","0.56","0.77","2.6"
"Idaho","ID",2015,"0.93","1.14","0.79","2.87"
"Illinois","IL",2015,"1.13","0.43","0.8","2.36"
"Indiana","IN",2015,"0.98","0.28","0.88","2.14"
"Iowa","IA",2015,"1.31","0.22","0.83","2.36"
"Kansas","KS",2015,"1.03","0.14","0.74","1.91"
"Kentucky","KY",2015,"0.99","0.22","0.76","1.97"
"Louisiana","LA",2015,"1.27","0.33","0.98","2.59"
"Maine","ME",2015,"1.37","0.44","0.97","2.78"
"Maryland","MD",2015,"0.85","0.39","0.9","2.14"
"Massachusetts","MA",2015,"0.97","0.65","0.91","2.52"
"Michigan","MI",2015,"0.99","0.37","0.89","2.25"
"Minnesota","MN",2015,"1.16","0.43","1.14","2.73"
"Mississippi","MS",2015,"1.31","0.17","0.77","2.24"
"Missouri","MO",2015,"1.17","0.39","0.97","2.53"
"Montana","MT",2015,"1.63","0.5","0.96","3.09"
"Nebraska","NE",2015,"1.34","0.22","0.71","2.27"
"Nevada","NV",2015,"1.38","0.66","1.29","3.33"
"New Hampshire","NH",2015,"1.88","0.88","1.96","4.72"
"New Jersey","NJ",2015,"0.83","0.6","0.92","2.36"
"New Mexico","NM",2015,"1.03","0.3","0.78","2.11"
"New York","NY",2015,"0.9","0.5","0.77","2.18"
"North Carolina","NC",2015,"1.05","0.42","0.63","2.1"
"North Dakota","ND",2015,"1.58","0.35","1.32","3.25"
"Ohio","OH",2015,"1.17","0.3","0.56","2.03"
"Oklahoma","OK",2015,"1.07","0.19","0.62","1.89"
"Oregon","OR",2015,"1.23","0.58","0.9","2.71"
"Pennsylvania","PA",2015,"1.31","0.32","0.7","2.33"
"Rhode Island","RI",2015,"0.96","0.57","0.99","2.52"
"South Carolina","SC",2015,"1.21","0.25","0.79","2.25"
"South Dakota","SD",2015,"1.48","0.29","1.02","2.79"
"Tennessee","TN",2015,"1.03","0.27","0.76","2.06"
"Texas","TX",2015,"1.28","0.33","0.67","2.29"
"Utah","UT",2015,"0.65","0.2","0.54","1.39"
"Vermont","VT",2015,"1.57","0.78","0.73","3.07"
"Virginia","VA",2015,"1","0.48","0.65","2.13"
"Washington","WA",2015,"0.97","0.53","0.77","2.26"
"West Virginia","WV",2015,"1.21","0.11","0.47","1.78"
"Wisconsin","WI",2015,"1.39","0.39","1.2","2.98"
"Wyoming","WY",2015,"1.24","0.31","1.18","2.74"
