"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2012,"1.16","0.24","0.6","2"
"Alaska","AK",2012,"1.17","0.53","1.13","2.83"
"Arizona","AZ",2012,"1.14","0.45","0.84","2.43"
"Arkansas","AR",2012,"1","0.2","0.6","1.81"
"California","CA",2012,"0.98","0.63","0.74","2.35"
"Colorado","CO",2012,"1.15","0.52","1.08","2.76"
"Connecticut","CT",2012,"0.86","0.61","0.91","2.39"
"Delaware","DE",2012,"1.32","0.69","1.58","3.59"
"District of Columbia","DC",2012,"1.18","1.01","1.65","3.85"
"Florida","FL",2012,"1.26","0.51","0.95","2.72"
"Georgia","GA",2012,"1.05","0.25","0.68","1.98"
"Hawaii","HI",2012,"1.26","0.53","0.75","2.54"
"Idaho","ID",2012,"0.98","1.02","0.77","2.77"
"Illinois","IL",2012,"1.15","0.43","0.77","2.36"
"Indiana","IN",2012,"1.02","0.28","0.79","2.08"
"Iowa","IA",2012,"1.36","0.23","0.81","2.4"
"Kansas","KS",2012,"1.09","0.14","0.72","1.95"
"Kentucky","KY",2012,"0.97","0.2","0.7","1.87"
"Louisiana","LA",2012,"1.38","0.32","0.9","2.59"
"Maine","ME",2012,"1.34","0.42","0.89","2.65"
"Maryland","MD",2012,"0.91","0.39","0.9","2.2"
"Massachusetts","MA",2012,"1.03","0.65","0.88","2.57"
"Michigan","MI",2012,"1.08","0.35","0.84","2.27"
"Minnesota","MN",2012,"1.18","0.42","1.11","2.71"
"Mississippi","MS",2012,"1.37","0.16","0.71","2.24"
"Missouri","MO",2012,"1.22","0.34","0.86","2.42"
"Montana","MT",2012,"1.65","0.48","0.94","3.07"
"Nebraska","NE",2012,"1.41","0.21","0.69","2.31"
"Nevada","NV",2012,"1.41","0.62","1.24","3.27"
"New Hampshire","NH",2012,"1.9","0.86","1.89","4.65"
"New Jersey","NJ",2012,"0.88","0.6","0.9","2.39"
"New Mexico","NM",2012,"1.24","0.33","0.79","2.36"
"New York","NY",2012,"0.91","0.51","0.75","2.17"
"North Carolina","NC",2012,"1.07","0.38","0.6","2.05"
"North Dakota","ND",2012,"1.75","0.3","1.37","3.42"
"Ohio","OH",2012,"1.23","0.29","0.51","2.03"
"Oklahoma","OK",2012,"1.14","0.19","0.61","1.94"
"Oregon","OR",2012,"1.21","0.57","0.89","2.66"
"Pennsylvania","PA",2012,"1.36","0.31","0.67","2.34"
"Rhode Island","RI",2012,"1.03","0.59","0.97","2.58"
"South Carolina","SC",2012,"1.28","0.25","0.79","2.32"
"South Dakota","SD",2012,"1.53","0.26","0.96","2.76"
"Tennessee","TN",2012,"1.07","0.25","0.68","2"
"Texas","TX",2012,"1.33","0.32","0.63","2.28"
"Utah","UT",2012,"0.69","0.19","0.5","1.37"
"Vermont","VT",2012,"1.51","0.7","0.71","2.92"
"Virginia","VA",2012,"1.04","0.46","0.62","2.12"
"Washington","WA",2012,"0.96","0.53","0.76","2.25"
"West Virginia","WV",2012,"1.24","0.1","0.47","1.8"
"Wisconsin","WI",2012,"1.46","0.37","1.18","3.02"
"Wyoming","WY",2012,"1.32","0.28","1.13","2.73"
