"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2006,"1.21","0.21","0.54","1.95"
"Alaska","AK",2006,"1.25","0.47","1.03","2.75"
"Arizona","AZ",2006,"1.34","0.38","0.79","2.51"
"Arkansas","AR",2006,"1.05","0.16","0.54","1.75"
"California","CA",2006,"1.02","0.56","0.7","2.29"
"Colorado","CO",2006,"1.29","0.45","0.98","2.72"
"Connecticut","CT",2006,"0.93","0.56","0.81","2.3"
"Delaware","DE",2006,"1.41","0.59","1.26","3.26"
"District of Columbia","DC",2006,"1.38","0.96","1.6","3.94"
"Florida","FL",2006,"1.32","0.47","0.91","2.7"
"Georgia","GA",2006,"1.19","0.26","0.65","2.1"
"Hawaii","HI",2006,"1.28","0.47","0.77","2.52"
"Idaho","ID",2006,"1.14","0.74","0.65","2.53"
"Illinois","IL",2006,"1.24","0.37","0.74","2.35"
"Indiana","IN",2006,"1.09","0.25","0.66","2"
"Iowa","IA",2006,"1.39","0.16","0.65","2.2"
"Kansas","KS",2006,"1.14","0.18","0.61","1.94"
"Kentucky","KY",2006,"1.04","0.17","0.62","1.82"
"Louisiana","LA",2006,"1.59","0.25","0.78","2.63"
"Maine","ME",2006,"1.34","0.42","0.78","2.54"
"Maryland","MD",2006,"1.01","0.34","0.83","2.18"
"Massachusetts","MA",2006,"1.1","0.61","0.85","2.56"
"Michigan","MI",2006,"1.13","0.29","0.76","2.18"
"Minnesota","MN",2006,"1.15","0.32","0.93","2.4"
"Mississippi","MS",2006,"1.43","0.13","0.67","2.23"
"Missouri","MO",2006,"1.33","0.28","0.76","2.37"
"Montana","MT",2006,"1.63","0.41","0.82","2.87"
"Nebraska","NE",2006,"1.42","0.21","0.71","2.35"
"Nevada","NV",2006,"1.71","0.65","1.28","3.63"
"New Hampshire","NH",2006,"1.73","0.78","1.77","4.28"
"New Jersey","NJ",2006,"0.95","0.54","0.85","2.33"
"New Mexico","NM",2006,"1.37","0.3","0.69","2.36"
"New York","NY",2006,"0.89","0.46","0.66","2.01"
"North Carolina","NC",2006,"1.14","0.32","0.54","2.01"
"North Dakota","ND",2006,"1.5","0.2","1","2.7"
"Ohio","OH",2006,"1.33","0.24","0.44","2.01"
"Oklahoma","OK",2006,"1.13","0.17","0.56","1.87"
"Oregon","OR",2006,"1.32","0.49","0.78","2.59"
"Pennsylvania","PA",2006,"1.32","0.23","0.55","2.1"
"Rhode Island","RI",2006,"1.07","0.51","0.83","2.41"
"South Carolina","SC",2006,"1.45","0.24","0.76","2.45"
"South Dakota","SD",2006,"1.51","0.19","0.79","2.5"
"Tennessee","TN",2006,"1.14","0.19","0.56","1.89"
"Texas","TX",2006,"1.43","0.26","0.55","2.24"
"Utah","UT",2006,"0.73","0.16","0.44","1.33"
"Vermont","VT",2006,"1.45","0.6","0.69","2.73"
"Virginia","VA",2006,"1.13","0.39","0.56","2.08"
"Washington","WA",2006,"1.08","0.48","0.72","2.28"
"West Virginia","WV",2006,"1.21","0.1","0.41","1.72"
"Wisconsin","WI",2006,"1.58","0.32","1.09","2.99"
"Wyoming","WY",2006,"1.44","0.26","1.03","2.72"
