"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2001,"1.16","0.17","0.53","1.86"
"Alaska","AK",2001,"1.32","0.38","0.96","2.67"
"Arizona","AZ",2001,"1.47","0.33","0.7","2.5"
"Arkansas","AR",2001,"1.08","0.13","0.53","1.74"
"California","CA",2001,"1.09","0.48","0.63","2.2"
"Colorado","CO",2001,"1.42","0.41","0.96","2.78"
"Connecticut","CT",2001,"0.95","0.5","0.74","2.19"
"Delaware","DE",2001,"1.39","0.49","1.07","2.94"
"District of Columbia","DC",2001,"1.36","0.79","1.46","3.61"
"Florida","FL",2001,"1.32","0.4","0.82","2.54"
"Georgia","GA",2001,"1.2","0.25","0.65","2.11"
"Hawaii","HI",2001,"1.3","0.38","0.6","2.28"
"Idaho","ID",2001,"1.14","0.63","0.53","2.3"
"Illinois","IL",2001,"1.27","0.32","0.68","2.28"
"Indiana","IN",2001,"1.15","0.19","0.62","1.96"
"Iowa","IA",2001,"1.36","0.13","0.5","1.99"
"Kansas","KS",2001,"1.12","0.15","0.53","1.8"
"Kentucky","KY",2001,"1.04","0.12","0.46","1.63"
"Louisiana","LA",2001,"1.49","0.23","0.69","2.41"
"Maine","ME",2001,"1.21","0.37","0.7","2.28"
"Maryland","MD",2001,"1.06","0.3","0.75","2.11"
"Massachusetts","MA",2001,"1.13","0.52","0.79","2.44"
"Michigan","MI",2001,"1.18","0.23","0.68","2.09"
"Minnesota","MN",2001,"1.25","0.26","0.88","2.39"
"Mississippi","MS",2001,"1.4","0.11","0.6","2.11"
"Missouri","MO",2001,"1.34","0.23","0.67","2.25"
"Montana","MT",2001,"1.58","0.3","0.68","2.56"
"Nebraska","NE",2001,"1.43","0.16","0.6","2.2"
"Nevada","NV",2001,"1.79","0.59","1.21","3.59"
"New Hampshire","NH",2001,"1.75","0.66","1.62","4.03"
"New Jersey","NJ",2001,"0.99","0.47","0.75","2.2"
"New Mexico","NM",2001,"1.54","0.25","0.61","2.39"
"New York","NY",2001,"0.96","0.37","0.56","1.89"
"North Carolina","NC",2001,"1.24","0.25","0.51","2"
"North Dakota","ND",2001,"1.46","0.15","0.81","2.42"
"Ohio","OH",2001,"1.34","0.21","0.39","1.93"
"Oklahoma","OK",2001,"1.11","0.12","0.43","1.65"
"Oregon","OR",2001,"1.22","0.43","0.65","2.3"
"Pennsylvania","PA",2001,"1.33","0.2","0.48","2.02"
"Rhode Island","RI",2001,"1.19","0.46","0.7","2.36"
"South Carolina","SC",2001,"1.4","0.22","0.65","2.27"
"South Dakota","SD",2001,"1.49","0.15","0.71","2.35"
"Tennessee","TN",2001,"1.15","0.16","0.5","1.81"
"Texas","TX",2001,"1.51","0.21","0.49","2.21"
"Utah","UT",2001,"0.77","0.14","0.39","1.3"
"Vermont","VT",2001,"1.34","0.48","0.63","2.45"
"Virginia","VA",2001,"1.15","0.32","0.5","1.97"
"Washington","WA",2001,"1.09","0.4","0.65","2.15"
"West Virginia","WV",2001,"1.25","0.1","0.37","1.72"
"Wisconsin","WI",2001,"1.54","0.26","0.95","2.75"
"Wyoming","WY",2001,"1.44","0.22","0.88","2.53"
