"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2003,"1.19","0.19","0.52","1.9"
"Alaska","AK",2003,"1.27","0.37","0.79","2.43"
"Arizona","AZ",2003,"1.41","0.37","0.71","2.49"
"Arkansas","AR",2003,"1.06","0.14","0.56","1.77"
"California","CA",2003,"1.07","0.51","0.65","2.23"
"Colorado","CO",2003,"1.33","0.4","0.87","2.6"
"Connecticut","CT",2003,"0.93","0.52","0.78","2.23"
"Delaware","DE",2003,"1.38","0.57","1.18","3.12"
"District of Columbia","DC",2003,"1.38","0.88","1.51","3.76"
"Florida","FL",2003,"1.31","0.44","0.86","2.61"
"Georgia","GA",2003,"1.2","0.26","0.66","2.13"
"Hawaii","HI",2003,"1.3","0.42","0.66","2.38"
"Idaho","ID",2003,"1.15","0.65","0.55","2.35"
"Illinois","IL",2003,"1.26","0.35","0.74","2.36"
"Indiana","IN",2003,"1.11","0.21","0.64","1.96"
"Iowa","IA",2003,"1.38","0.15","0.54","2.07"
"Kansas","KS",2003,"1.16","0.17","0.56","1.89"
"Kentucky","KY",2003,"1.03","0.15","0.57","1.75"
"Louisiana","LA",2003,"1.41","0.25","0.72","2.38"
"Maine","ME",2003,"1.25","0.4","0.74","2.39"
"Maryland","MD",2003,"1.03","0.32","0.77","2.12"
"Massachusetts","MA",2003,"1.1","0.56","0.82","2.49"
"Michigan","MI",2003,"1.17","0.28","0.72","2.17"
"Minnesota","MN",2003,"1.22","0.29","0.91","2.43"
"Mississippi","MS",2003,"1.38","0.12","0.63","2.13"
"Missouri","MO",2003,"1.34","0.26","0.7","2.29"
"Montana","MT",2003,"1.56","0.33","0.72","2.62"
"Nebraska","NE",2003,"1.43","0.19","0.63","2.24"
"Nevada","NV",2003,"1.74","0.61","1.23","3.59"
"New Hampshire","NH",2003,"1.75","0.71","1.63","4.09"
"New Jersey","NJ",2003,"0.95","0.5","0.8","2.24"
"New Mexico","NM",2003,"1.52","0.27","0.61","2.4"
"New York","NY",2003,"0.93","0.4","0.61","1.94"
"North Carolina","NC",2003,"1.21","0.27","0.52","2"
"North Dakota","ND",2003,"1.53","0.17","0.86","2.56"
"Ohio","OH",2003,"1.34","0.22","0.4","1.95"
"Oklahoma","OK",2003,"1.06","0.13","0.74","1.93"
"Oregon","OR",2003,"1.2","0.47","0.69","2.36"
"Pennsylvania","PA",2003,"1.31","0.22","0.51","2.04"
"Rhode Island","RI",2003,"1.13","0.51","0.8","2.45"
"South Carolina","SC",2003,"1.38","0.23","0.74","2.35"
"South Dakota","SD",2003,"1.52","0.16","0.74","2.41"
"Tennessee","TN",2003,"1.27","0.18","0.52","1.96"
"Texas","TX",2003,"1.46","0.23","0.51","2.19"
"Utah","UT",2003,"0.76","0.14","0.39","1.3"
"Vermont","VT",2003,"1.34","0.52","0.65","2.51"
"Virginia","VA",2003,"1.14","0.36","0.52","2.02"
"Washington","WA",2003,"1.07","0.47","0.68","2.21"
"West Virginia","WV",2003,"1.23","0.1","0.38","1.72"
"Wisconsin","WI",2003,"1.53","0.29","1","2.82"
"Wyoming","WY",2003,"1.7","0.23","0.9","2.84"
