"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2010,"1.17","0.23","0.58","1.98"
"Alaska","AK",2010,"1.23","0.55","1.25","3.03"
"Arizona","AZ",2010,"1.23","0.41","0.76","2.39"
"Arkansas","AR",2010,"1.02","0.19","0.57","1.77"
"California","CA",2010,"0.97","0.49","0.71","2.16"
"Colorado","CO",2010,"1.22","0.48","1.01","2.71"
"Connecticut","CT",2010,"0.88","0.6","0.87","2.35"
"Delaware","DE",2010,"1.36","0.66","1.36","3.38"
"District of Columbia","DC",2010,"1.22","1","1.61","3.83"
"Florida","FL",2010,"1.12","0.47","0.91","2.5"
"Georgia","GA",2010,"1.08","0.25","0.65","1.98"
"Hawaii","HI",2010,"1.25","0.52","0.71","2.48"
"Idaho","ID",2010,"1.06","0.9","0.72","2.68"
"Illinois","IL",2010,"1.22","0.4","0.74","2.35"
"Indiana","IN",2010,"1.03","0.26","0.74","2.03"
"Iowa","IA",2010,"1.39","0.18","0.73","2.3"
"Kansas","KS",2010,"1.13","0.14","0.68","1.95"
"Kentucky","KY",2010,"1","0.18","0.66","1.83"
"Louisiana","LA",2010,"1.42","0.28","0.84","2.55"
"Maine","ME",2010,"1.3","0.42","0.84","2.56"
"Maryland","MD",2010,"0.94","0.38","0.89","2.21"
"Massachusetts","MA",2010,"1.04","0.62","0.84","2.5"
"Michigan","MI",2010,"1.09","0.33","0.81","2.23"
"Minnesota","MN",2010,"1.14","0.33","0.97","2.44"
"Mississippi","MS",2010,"1.37","0.15","0.7","2.22"
"Missouri","MO",2010,"1.27","0.32","0.81","2.41"
"Montana","MT",2010,"1.65","0.45","0.88","2.98"
"Nebraska","NE",2010,"1.4","0.21","0.67","2.28"
"Nevada","NV",2010,"1.49","0.6","1.21","3.3"
"New Hampshire","NH",2010,"1.81","0.84","1.85","4.5"
"New Jersey","NJ",2010,"0.92","0.57","0.86","2.35"
"New Mexico","NM",2010,"1.23","0.31","0.74","2.28"
"New York","NY",2010,"0.89","0.48","0.71","2.09"
"North Carolina","NC",2010,"1.08","0.35","0.57","2.01"
"North Dakota","ND",2010,"1.49","0.25","1.19","2.93"
"Ohio","OH",2010,"1.29","0.25","0.48","2.02"
"Oklahoma","OK",2010,"1.16","0.18","0.58","1.92"
"Oregon","OR",2010,"1.19","0.49","0.83","2.51"
"Pennsylvania","PA",2010,"1.37","0.29","0.64","2.3"
"Rhode Island","RI",2010,"1.07","0.56","0.92","2.55"
"South Carolina","SC",2010,"1.31","0.24","0.76","2.31"
"South Dakota","SD",2010,"1.53","0.24","0.92","2.69"
"Tennessee","TN",2010,"1.04","0.22","0.61","1.88"
"Texas","TX",2010,"1.35","0.29","0.59","2.23"
"Utah","UT",2010,"0.7","0.18","0.47","1.35"
"Vermont","VT",2010,"1.44","0.64","0.71","2.8"
"Virginia","VA",2010,"1.08","0.44","0.6","2.12"
"Washington","WA",2010,"1.01","0.52","0.73","2.25"
"West Virginia","WV",2010,"1.23","0.1","0.44","1.78"
"Wisconsin","WI",2010,"1.49","0.32","1.13","2.94"
"Wyoming","WY",2010,"1.33","0.27","1.06","2.66"
