"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2008,"1.22","0.22","0.57","2.01"
"Alaska","AK",2008,"1.2","0.49","1.09","2.78"
"Arizona","AZ",2008,"1.3","0.41","0.77","2.48"
"Arkansas","AR",2008,"1.05","0.17","0.55","1.77"
"California","CA",2008,"1.05","0.55","0.7","2.3"
"Colorado","CO",2008,"1.28","0.47","1.02","2.77"
"Connecticut","CT",2008,"0.93","0.58","0.85","2.36"
"Delaware","DE",2008,"1.35","0.57","1.23","3.15"
"District of Columbia","DC",2008,"1.35","1.01","1.64","4"
"Florida","FL",2008,"1.24","0.48","0.89","2.61"
"Georgia","GA",2008,"1.16","0.25","0.65","2.06"
"Hawaii","HI",2008,"1.33","0.51","0.72","2.56"
"Idaho","ID",2008,"1.15","0.81","0.69","2.64"
"Illinois","IL",2008,"1.23","0.38","0.74","2.34"
"Indiana","IN",2008,"1.1","0.24","0.73","2.08"
"Iowa","IA",2008,"1.43","0.17","0.7","2.3"
"Kansas","KS",2008,"1.22","0.14","0.65","2.01"
"Kentucky","KY",2008,"1.03","0.17","0.65","1.85"
"Louisiana","LA",2008,"1.55","0.26","0.83","2.64"
"Maine","ME",2008,"1.33","0.42","0.81","2.56"
"Maryland","MD",2008,"0.99","0.36","0.84","2.19"
"Massachusetts","MA",2008,"1.08","0.62","0.84","2.54"
"Michigan","MI",2008,"1.13","0.3","0.79","2.22"
"Minnesota","MN",2008,"1.21","0.36","1.03","2.6"
"Mississippi","MS",2008,"1.44","0.15","0.7","2.28"
"Missouri","MO",2008,"1.32","0.3","0.8","2.42"
"Montana","MT",2008,"1.66","0.44","0.87","2.97"
"Nebraska","NE",2008,"1.45","0.2","0.68","2.33"
"Nevada","NV",2008,"1.63","0.61","1.29","3.53"
"New Hampshire","NH",2008,"1.78","0.81","1.79","4.39"
"New Jersey","NJ",2008,"0.93","0.55","0.86","2.35"
"New Mexico","NM",2008,"1.41","0.31","0.71","2.43"
"New York","NY",2008,"0.93","0.47","0.68","2.08"
"North Carolina","NC",2008,"1.13","0.34","0.57","2.03"
"North Dakota","ND",2008,"1.6","0.23","1.11","2.94"
"Ohio","OH",2008,"1.33","0.26","0.46","2.05"
"Oklahoma","OK",2008,"1.22","0.18","0.58","1.97"
"Oregon","OR",2008,"1.22","0.49","0.83","2.54"
"Pennsylvania","PA",2008,"1.36","0.26","0.61","2.23"
"Rhode Island","RI",2008,"1.09","0.52","0.84","2.46"
"South Carolina","SC",2008,"1.39","0.24","0.76","2.4"
"South Dakota","SD",2008,"1.57","0.22","0.87","2.66"
"Tennessee","TN",2008,"1.1","0.2","0.57","1.87"
"Texas","TX",2008,"1.43","0.27","0.58","2.28"
"Utah","UT",2008,"0.76","0.17","0.47","1.41"
"Vermont","VT",2008,"1.45","0.63","0.71","2.79"
"Virginia","VA",2008,"1.12","0.42","0.58","2.12"
"Washington","WA",2008,"1.11","0.5","0.75","2.37"
"West Virginia","WV",2008,"1.25","0.1","0.43","1.79"
"Wisconsin","WI",2008,"1.55","0.34","1.13","3.01"
"Wyoming","WY",2008,"1.5","0.27","1.09","2.87"
