"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2014,"1.13","0.25","0.62","2"
"Alaska","AK",2014,"1.11","0.52","1.16","2.79"
"Arizona","AZ",2014,"1.18","0.4","0.79","2.37"
"Arkansas","AR",2014,"0.96","0.21","0.62","1.79"
"California","CA",2014,"1","0.6","0.73","2.32"
"Colorado","CO",2014,"1.14","0.51","1.11","2.77"
"Connecticut","CT",2014,"0.84","0.6","0.92","2.37"
"Delaware","DE",2014,"1.21","0.72","1.66","3.59"
"District of Columbia","DC",2014,"1.16","1.01","1.68","3.84"
"Florida","FL",2014,"1.09","0.51","0.98","2.59"
"Georgia","GA",2014,"1.02","0.25","0.69","1.96"
"Hawaii","HI",2014,"1.27","0.54","0.77","2.59"
"Idaho","ID",2014,"0.93","1.12","0.77","2.82"
"Illinois","IL",2014,"1.12","0.42","0.78","2.32"
"Indiana","IN",2014,"0.98","0.27","0.8","2.05"
"Iowa","IA",2014,"1.34","0.21","0.81","2.37"
"Kansas","KS",2014,"1.04","0.14","0.75","1.93"
"Kentucky","KY",2014,"0.94","0.21","0.72","1.88"
"Louisiana","LA",2014,"1.3","0.33","0.95","2.58"
"Maine","ME",2014,"1.36","0.42","0.93","2.71"
"Maryland","MD",2014,"0.86","0.39","0.9","2.15"
"Massachusetts","MA",2014,"0.98","0.66","0.91","2.55"
"Michigan","MI",2014,"1.05","0.39","0.88","2.32"
"Minnesota","MN",2014,"1.14","0.44","1.23","2.81"
"Mississippi","MS",2014,"1.32","0.16","0.75","2.23"
"Missouri","MO",2014,"1.16","0.36","0.88","2.4"
"Montana","MT",2014,"1.62","0.5","0.96","3.08"
"Nebraska","NE",2014,"1.37","0.21","0.71","2.3"
"Nevada","NV",2014,"1.41","0.66","1.3","3.36"
"New Hampshire","NH",2014,"1.69","0.89","1.96","4.54"
"New Jersey","NJ",2014,"0.84","0.62","0.92","2.37"
"New Mexico","NM",2014,"1.29","0.31","0.82","2.42"
"New York","NY",2014,"0.9","0.53","0.76","2.2"
"North Carolina","NC",2014,"1.04","0.41","0.61","2.06"
"North Dakota","ND",2014,"1.67","0.35","1.39","3.41"
"Ohio","OH",2014,"1.19","0.3","0.54","2.03"
"Oklahoma","OK",2014,"1.09","0.19","0.63","1.91"
"Oregon","OR",2014,"1.23","0.57","0.9","2.7"
"Pennsylvania","PA",2014,"1.32","0.32","0.7","2.34"
"Rhode Island","RI",2014,"1.02","0.51","0.86","2.39"
"South Carolina","SC",2014,"1.23","0.25","0.8","2.28"
"South Dakota","SD",2014,"1.5","0.25","0.99","2.74"
"Tennessee","TN",2014,"1.04","0.25","0.73","2.02"
"Texas","TX",2014,"1.25","0.33","0.65","2.24"
"Utah","UT",2014,"0.66","0.19","0.52","1.37"
"Vermont","VT",2014,"1.55","0.78","0.72","3.05"
"Virginia","VA",2014,"1.01","0.47","0.63","2.11"
"Washington","WA",2014,"0.97","0.53","0.76","2.26"
"West Virginia","WV",2014,"1.21","0.1","0.47","1.78"
"Wisconsin","WI",2014,"1.41","0.38","1.18","2.97"
"Wyoming","WY",2014,"1.25","0.31","1.16","2.72"
