"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2002,"1.18","0.21","0.54","1.92"
"Alaska","AK",2002,"1.35","0.45","1.19","2.99"
"Arizona","AZ",2002,"1.46","0.33","0.69","2.48"
"Arkansas","AR",2002,"1.09","0.14","0.53","1.75"
"California","CA",2002,"1.08","0.49","0.64","2.21"
"Colorado","CO",2002,"1.35","0.39","0.9","2.64"
"Connecticut","CT",2002,"0.95","0.5","0.75","2.21"
"Delaware","DE",2002,"1.39","0.52","1.1","3.01"
"District of Columbia","DC",2002,"1.36","0.83","1.47","3.66"
"Florida","FL",2002,"1.32","0.43","0.84","2.58"
"Georgia","GA",2002,"1.21","0.26","0.66","2.13"
"Hawaii","HI",2002,"1.27","0.39","0.62","2.28"
"Idaho","ID",2002,"1.16","0.64","0.53","2.33"
"Illinois","IL",2002,"1.28","0.33","0.65","2.26"
"Indiana","IN",2002,"1.13","0.2","0.6","1.93"
"Iowa","IA",2002,"1.38","0.14","0.51","2.04"
"Kansas","KS",2002,"1.19","0.15","0.54","1.88"
"Kentucky","KY",2002,"1.08","0.14","0.54","1.77"
"Louisiana","LA",2002,"1.32","0.24","0.7","2.26"
"Maine","ME",2002,"1.23","0.4","0.7","2.33"
"Maryland","MD",2002,"1.06","0.31","0.76","2.12"
"Massachusetts","MA",2002,"1.13","0.54","0.8","2.47"
"Michigan","MI",2002,"1.19","0.25","0.69","2.13"
"Minnesota","MN",2002,"1.26","0.28","0.88","2.41"
"Mississippi","MS",2002,"1.41","0.12","0.61","2.13"
"Missouri","MO",2002,"1.36","0.25","0.67","2.27"
"Montana","MT",2002,"1.62","0.33","0.7","2.65"
"Nebraska","NE",2002,"1.45","0.17","0.61","2.23"
"Nevada","NV",2002,"1.74","0.6","1.22","3.56"
"New Hampshire","NH",2002,"1.75","0.7","1.64","4.09"
"New Jersey","NJ",2002,"0.98","0.49","0.77","2.24"
"New Mexico","NM",2002,"1.52","0.26","0.61","2.4"
"New York","NY",2002,"0.95","0.38","0.59","1.92"
"North Carolina","NC",2002,"1.25","0.27","0.5","2.02"
"North Dakota","ND",2002,"1.51","0.16","0.83","2.5"
"Ohio","OH",2002,"1.35","0.21","0.39","1.95"
"Oklahoma","OK",2002,"1.12","0.13","0.58","1.82"
"Oregon","OR",2002,"1.22","0.46","0.66","2.34"
"Pennsylvania","PA",2002,"1.35","0.21","0.49","2.06"
"Rhode Island","RI",2002,"1.17","0.48","0.74","2.4"
"South Carolina","SC",2002,"1.4","0.22","0.67","2.3"
"South Dakota","SD",2002,"1.51","0.15","0.67","2.34"
"Tennessee","TN",2002,"1.17","0.17","0.51","1.86"
"Texas","TX",2002,"1.49","0.22","0.5","2.21"
"Utah","UT",2002,"0.77","0.14","0.39","1.3"
"Vermont","VT",2002,"1.34","0.51","0.63","2.48"
"Virginia","VA",2002,"1.15","0.34","0.51","2"
"Washington","WA",2002,"1.09","0.43","0.66","2.17"
"West Virginia","WV",2002,"1.26","0.1","0.38","1.74"
"Wisconsin","WI",2002,"1.56","0.28","0.98","2.82"
"Wyoming","WY",2002,"1.46","0.23","0.88","2.57"
