"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2009,"1.19","0.22","0.57","1.98"
"Alaska","AK",2009,"1.32","0.54","1.16","3.02"
"Arizona","AZ",2009,"1.22","0.39","0.77","2.38"
"Arkansas","AR",2009,"1.03","0.17","0.57","1.78"
"California","CA",2009,"1.01","0.57","0.7","2.28"
"Colorado","CO",2009,"1.23","0.46","1.01","2.7"
"Connecticut","CT",2009,"0.88","0.59","0.85","2.31"
"Delaware","DE",2009,"1.32","0.65","1.34","3.31"
"District of Columbia","DC",2009,"1.26","1","1.62","3.88"
"Florida","FL",2009,"1.19","0.48","0.91","2.58"
"Georgia","GA",2009,"1.11","0.25","0.65","2.01"
"Hawaii","HI",2009,"1.27","0.51","0.71","2.49"
"Idaho","ID",2009,"1.05","0.91","0.7","2.67"
"Illinois","IL",2009,"1.24","0.39","0.73","2.36"
"Indiana","IN",2009,"1.08","0.25","0.72","2.05"
"Iowa","IA",2009,"1.42","0.18","0.72","2.31"
"Kansas","KS",2009,"1.18","0.14","0.67","1.99"
"Kentucky","KY",2009,"1.02","0.18","0.65","1.85"
"Louisiana","LA",2009,"1.5","0.28","0.85","2.63"
"Maine","ME",2009,"1.31","0.42","0.82","2.55"
"Maryland","MD",2009,"0.96","0.36","0.86","2.19"
"Massachusetts","MA",2009,"1.03","0.62","0.85","2.49"
"Michigan","MI",2009,"1.11","0.32","0.8","2.23"
"Minnesota","MN",2009,"1.19","0.37","1.04","2.59"
"Mississippi","MS",2009,"1.41","0.15","0.7","2.26"
"Missouri","MO",2009,"1.3","0.3","0.83","2.43"
"Montana","MT",2009,"1.64","0.45","0.87","2.96"
"Nebraska","NE",2009,"1.42","0.2","0.67","2.29"
"Nevada","NV",2009,"1.53","0.56","1.11","3.21"
"New Hampshire","NH",2009,"1.79","0.84","1.84","4.47"
"New Jersey","NJ",2009,"0.91","0.57","0.86","2.34"
"New Mexico","NM",2009,"1.34","0.31","0.72","2.38"
"New York","NY",2009,"0.92","0.47","0.7","2.08"
"North Carolina","NC",2009,"1.09","0.33","0.57","1.99"
"North Dakota","ND",2009,"1.59","0.24","1.13","2.96"
"Ohio","OH",2009,"1.3","0.27","0.47","2.03"
"Oklahoma","OK",2009,"1.17","0.18","0.58","1.93"
"Oregon","OR",2009,"1.28","0.49","0.82","2.59"
"Pennsylvania","PA",2009,"1.37","0.28","0.63","2.27"
"Rhode Island","RI",2009,"1.07","0.55","0.85","2.47"
"South Carolina","SC",2009,"1.35","0.24","0.76","2.34"
"South Dakota","SD",2009,"1.54","0.22","0.89","2.65"
"Tennessee","TN",2009,"1.05","0.21","0.57","1.83"
"Texas","TX",2009,"1.41","0.28","0.58","2.26"
"Utah","UT",2009,"0.72","0.17","0.47","1.36"
"Vermont","VT",2009,"1.43","0.64","0.7","2.77"
"Virginia","VA",2009,"1.1","0.42","0.58","2.11"
"Washington","WA",2009,"1.1","0.51","0.74","2.34"
"West Virginia","WV",2009,"1.23","0.1","0.44","1.77"
"Wisconsin","WI",2009,"1.49","0.31","1.16","2.96"
"Wyoming","WY",2009,"1.4","0.27","1.06","2.73"
