"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2005,"1.18","0.2","0.53","1.91"
"Alaska","AK",2005,"1.23","0.43","0.98","2.64"
"Arizona","AZ",2005,"1.35","0.4","0.76","2.51"
"Arkansas","AR",2005,"1.03","0.15","0.5","1.67"
"California","CA",2005,"1.03","0.54","0.69","2.26"
"Colorado","CO",2005,"1.31","0.42","0.99","2.72"
"Connecticut","CT",2005,"0.9","0.54","0.79","2.23"
"Delaware","DE",2005,"1.42","0.58","1.24","3.25"
"District of Columbia","DC",2005,"1.4","0.93","1.56","3.9"
"Florida","FL",2005,"1.33","0.46","0.91","2.7"
"Georgia","GA",2005,"1.17","0.26","0.64","2.07"
"Hawaii","HI",2005,"1.3","0.45","0.72","2.47"
"Idaho","ID",2005,"1.11","0.74","0.61","2.45"
"Illinois","IL",2005,"1.23","0.34","0.71","2.29"
"Indiana","IN",2005,"1.11","0.22","0.68","2.01"
"Iowa","IA",2005,"1.4","0.16","0.61","2.16"
"Kansas","KS",2005,"1.14","0.18","0.57","1.89"
"Kentucky","KY",2005,"1.04","0.14","0.61","1.8"
"Louisiana","LA",2005,"1.47","0.24","0.71","2.41"
"Maine","ME",2005,"1.34","0.41","0.77","2.52"
"Maryland","MD",2005,"1.02","0.34","0.81","2.16"
"Massachusetts","MA",2005,"1.07","0.59","0.85","2.51"
"Michigan","MI",2005,"1.15","0.28","0.74","2.16"
"Minnesota","MN",2005,"1.18","0.33","0.97","2.48"
"Mississippi","MS",2005,"1.4","0.13","0.65","2.18"
"Missouri","MO",2005,"1.31","0.27","0.73","2.3"
"Montana","MT",2005,"1.59","0.42","0.77","2.78"
"Nebraska","NE",2005,"1.41","0.2","0.68","2.29"
"Nevada","NV",2005,"1.69","0.62","1.21","3.52"
"New Hampshire","NH",2005,"1.75","0.75","1.71","4.2"
"New Jersey","NJ",2005,"0.95","0.52","0.83","2.3"
"New Mexico","NM",2005,"1.47","0.29","0.66","2.42"
"New York","NY",2005,"0.91","0.43","0.65","1.99"
"North Carolina","NC",2005,"1.13","0.3","0.54","1.96"
"North Dakota","ND",2005,"1.48","0.18","0.94","2.6"
"Ohio","OH",2005,"1.34","0.23","0.43","2"
"Oklahoma","OK",2005,"1.09","0.16","0.55","1.8"
"Oregon","OR",2005,"1.16","0.5","0.75","2.4"
"Pennsylvania","PA",2005,"1.32","0.23","0.55","2.11"
"Rhode Island","RI",2005,"0.98","0.49","0.82","2.29"
"South Carolina","SC",2005,"1.43","0.24","0.75","2.42"
"South Dakota","SD",2005,"1.5","0.19","0.83","2.52"
"Tennessee","TN",2005,"1.19","0.19","0.55","1.92"
"Texas","TX",2005,"1.43","0.25","0.53","2.2"
"Utah","UT",2005,"0.7","0.16","0.41","1.27"
"Vermont","VT",2005,"1.44","0.57","0.68","2.69"
"Virginia","VA",2005,"1.13","0.38","0.54","2.05"
"Washington","WA",2005,"1.11","0.55","0.68","2.34"
"West Virginia","WV",2005,"1.23","0.1","0.4","1.73"
"Wisconsin","WI",2005,"1.58","0.31","1.07","2.95"
"Wyoming","WY",2005,"1.2","0.25","0.96","2.41"
