"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2013,"1.14","0.25","0.6","1.99"
"Alaska","AK",2013,"1.07","0.52","1.17","2.75"
"Arizona","AZ",2013,"1.13","0.42","0.81","2.36"
"Arkansas","AR",2013,"1","0.2","0.6","1.81"
"California","CA",2013,"0.98","0.6","0.75","2.33"
"Colorado","CO",2013,"1.2","0.5","1.11","2.81"
"Connecticut","CT",2013,"0.85","0.61","0.91","2.37"
"Delaware","DE",2013,"1.25","0.72","1.63","3.59"
"District of Columbia","DC",2013,"1.17","1.01","1.66","3.84"
"Florida","FL",2013,"1.28","0.49","0.95","2.72"
"Georgia","GA",2013,"1.03","0.25","0.69","1.97"
"Hawaii","HI",2013,"1.25","0.54","0.77","2.56"
"Idaho","ID",2013,"0.96","1.08","0.77","2.81"
"Illinois","IL",2013,"1.13","0.42","0.78","2.33"
"Indiana","IN",2013,"1","0.28","0.81","2.09"
"Iowa","IA",2013,"1.33","0.22","0.79","2.34"
"Kansas","KS",2013,"0.99","0.14","0.76","1.88"
"Kentucky","KY",2013,"0.95","0.2","0.7","1.85"
"Louisiana","LA",2013,"1.34","0.32","0.93","2.58"
"Maine","ME",2013,"1.36","0.42","0.91","2.69"
"Maryland","MD",2013,"0.88","0.39","0.9","2.17"
"Massachusetts","MA",2013,"1","0.66","0.89","2.56"
"Michigan","MI",2013,"1.02","0.37","0.85","2.24"
"Minnesota","MN",2013,"1.13","0.43","1.16","2.72"
"Mississippi","MS",2013,"1.35","0.16","0.73","2.24"
"Missouri","MO",2013,"1.19","0.36","0.89","2.44"
"Montana","MT",2013,"1.63","0.49","0.95","3.07"
"Nebraska","NE",2013,"1.39","0.21","0.71","2.31"
"Nevada","NV",2013,"1.4","0.63","1.28","3.31"
"New Hampshire","NH",2013,"1.86","0.89","1.93","4.68"
"New Jersey","NJ",2013,"0.84","0.61","0.92","2.36"
"New Mexico","NM",2013,"1.17","0.34","0.85","2.35"
"New York","NY",2013,"0.93","0.51","0.77","2.21"
"North Carolina","NC",2013,"1.04","0.39","0.6","2.03"
"North Dakota","ND",2013,"1.68","0.32","1.37","3.38"
"Ohio","OH",2013,"1.22","0.3","0.53","2.04"
"Oklahoma","OK",2013,"1.11","0.19","0.62","1.93"
"Oregon","OR",2013,"1.2","0.57","0.89","2.66"
"Pennsylvania","PA",2013,"1.34","0.31","0.68","2.33"
"Rhode Island","RI",2013,"1","0.58","0.98","2.56"
"South Carolina","SC",2013,"1.26","0.25","0.8","2.31"
"South Dakota","SD",2013,"1.52","0.28","1.02","2.81"
"Tennessee","TN",2013,"1.05","0.25","0.7","2"
"Texas","TX",2013,"1.3","0.32","0.63","2.25"
"Utah","UT",2013,"0.67","0.19","0.51","1.36"
"Vermont","VT",2013,"1.54","0.74","0.72","3"
"Virginia","VA",2013,"1.02","0.46","0.62","2.1"
"Washington","WA",2013,"0.95","0.53","0.76","2.24"
"West Virginia","WV",2013,"1.24","0.1","0.46","1.8"
"Wisconsin","WI",2013,"1.45","0.38","1.17","2.99"
"Wyoming","WY",2013,"1.24","0.29","1.13","2.67"
